Name of Library ,Type of Library,Number of works,Links to Omeka Items,Location,Area,ISIL Code,Alphabetica: Library History,Library website ,Latitude,Longitude
Biblioteca civica di Biella,Biblioteca civica; Biblioteca importante non specializzata,3,,Biella (BI),North,IT-BI0025,,,45.5663695,8.0508341
Biblioteca civica di Mondovì,Biblioteca civica; Biblioteca importante non specializzata,1,,Mondovì (CN),North,IT-CN0065,,,44.3894357,7.8294198
Biblioteca civica di Padova,Biblioteca civica; biblioteca pubblica,35,,Padova (PD),North,IT-PD0090,,,45.4082764,11.8817341
Biblioteca civica don Gilberto Pressacco,Biblioteca civica; biblioteca pubblica,1,,Codroipo (UD),North,IT-UD0017,,http://www.comune.codroipo.ud.it,45.962654,12.990818
Biblioteca civica Eugenio Montale,Biblioteca civica,1,,Varazze (SV),North,IT-SV0066,,,44.3599771186805,8.57949711226422
Biblioteca civica Francesca Calvo,Biblioteca civica; Biblioteca importante non specializzata,2,,Alessandria (AL),North,IT-AL0002,,http://www.comune.alessandria.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/1315,44.9114484,8.6193907
Biblioteca civica Gambalunga,Biblioteca civica,4,,Rimini (RN),North,IT-RN0013,,http://www.bibliotecagambalunga.it,44.0616558,12.5678351
Biblioteca civica Giovanni Canna,Biblioteca civica,3,,Casale Monferrato (AL),North,IT-AL0042,,,45.1590286,8.1935431
Biblioteca civica Giovanni Canna,Biblioteca civica,3,,Casale Monferrato (AL),North,IT-AL0114,,,45.1340432,8.4522332
Biblioteca civica Ricottiana,Biblioteca civica,1,,Voghera (PV),North,IT-PV0190,,,44.99094,9.004974
Biblioteca civica Uberto Pozzoli,Biblioteca civica,2,,Lecco (LC),North,IT-LC0035,,http://www.comune.lecco.it/docinf.jhtml?param1_1=N109641973e7e6b65b8a,45.8563537,9.3915869
Biblioteca civica Vincenzo Joppi,Biblioteca civica,1,,Udine (UD),North,IT-UD0106,,http://www.comune.udine.it/biblioteca.htm,46.069979,13.251625
Biblioteca Clarence Bicknell dell'Istituto internazionale di studi liguri,,4,,Bordighera (IM),North,IT-IM0001,,http://www.iisl.it/Biblioteca%20Clarence%20Bicknell/Biblioteca%20Bicknell.htm,43.782477,7.667929
Biblioteca comunale Ariostea,Biblioteca comunale,4,,Ferrara (FE),North,IT-FE0017,,http://www.artecultura.fe.it/index.phtml?id=271,44.8330257,11.621657
Biblioteca comunale Aurelio Saffi e Fondo Piancastelli,Biblioteca comunale,12,,Forlì (FC),North,IT-FC0018,,,44.2205046,12.044391
Biblioteca comunale Classense,Biblioteca comunale,34,,Ravenna (RA),North,IT-RA0036,,http://www.classense.ra.it/main/index.php?id_pag=5,44.41417,12.2000899
Biblioteca comunale dell'Archiginnasio,Biblioteca comunale,20,,Bologna (BO),North,IT-BO0304,,http://www.archiginnasio.it,44.4917372,11.3432431
Biblioteca comunale di Imola,Biblioteca comunale,1,,Imola (BO),North,IT-BO0199,,,44.3536525,11.7136724
"Biblioteca comunale di Treviso,  Sede di Borgo Cavour",,2,,Treviso (TV),North,IT-TV0114,,,45.6659665,12.2379151
Biblioteca comunale di Vedelago,Biblioteca comunale,1,,Vedelago (TV),North,IT-TV0120,,,45.68633,12.019231
Biblioteca comunale don Giovanni Verità e della Accademia degli Incamminati,Biblioteca comunale,1,,Modigliana (FC),North,IT-FC0038,,http://www.comune.modigliana.fc.it,44.1215966,11.886851
Biblioteca comunale Fabrizio Trisi,Biblioteca comunale,3,,Lugo (RA),North,IT-RA0025,,http://www.bibliotecatrisi.it,44.4199314,11.9098071
Biblioteca comunale Federiciana,Biblioteca comunale,1,,Fano (PU),North,IT-PU0018,,http://www.provincia.ps.it/federiciana/,43.8441104,13.0209788
Biblioteca comunale Francesco Selmi,Biblioteca comunale,1,,Vignola (MO),North,IT-MO0127,,http://www.comune.vignola.mo.it,44.4799695,11.0064103
Biblioteca comunale Giulio Cesare Croce,Biblioteca comunale,3,,San Giovanni in Persiceto (BO),North,IT-BO0220,,,44.6376266,11.1880915
Biblioteca comunale Giuseppe Ceccarelli,Biblioteca comunale,1,,Gatteo (FC),North,IT-FC0029,,,44.1072557,12.385337
Biblioteca comunale Giuseppe Melli,,2,,San Pietro Vernotico (BR),North,IT-BR0016,,,40.4857843,18.0005058
Biblioteca comunale Luigi Dal Pane,Biblioteca comunale,1,,Castel Bolognese (RA),North,IT-RA0006,,http://wr.racine.ra.it/racine/racine.run?7271698,44.319149,11.797436
Biblioteca comunale Manfrediana,Biblioteca comunale,12,,Faenza (RA),North,IT-RA0016,,http://www.racine.ra.it/manfrediana,44.2844672,11.8850198
Biblioteca comunale Teresiana,Biblioteca comunale,3,,Mantova (MN),North,IT-MN0035,,http://www.bibliotecateresiana.it,45.1579276,10.7975387
Biblioteca d'arte e di storia di San Giorgio in Poggiale,,5,,Bologna (BO),North,IT-BO0376,,http://www.genusbononiae.it/index.php?pag=29,44.4972782,11.3393038
Biblioteca dei Musei provinciali ERPAC-FVG,,1,,Gorizia (GO),North,IT-GO0027,,,45.9433288,13.618912
"Biblioteca del Centro APICE -  Archivi della parola, dell'immagine e della comunicazione editoriale dell'Università degli studi di Milano",,1,,Milano (MI),North,IT-MI1289,,,45.4312808,9.2010151
Biblioteca del Centro dantesco,Bibliteca specializzata,54,,Ravenna (RA),North,IT-RA0035,,http://www.centrodantesco.it,44.4162608,12.2008986
Biblioteca del Centro nazionale di studi alfieriani,Bibliteca specializzata,1,,Asti (AT),North,IT-AT0003,,,44.899058,8.1984588
Biblioteca del Centro studi Piero Gobetti,Bibliteca specializzata,1,,Torino (TO),North,IT-TO0250,,http://www.regione.piemonte.it/cultura/istituti/gobetti/,45.0732203,7.6748088
"Biblioteca del Dipartimento di Filologia classica e Italianistica Alma Mater Studiorum,  Università degli studi di Bologna",,4,,Bologna (BO),North,IT-BO0451,,,44.4964972,11.3512531
Biblioteca del Liceo classico Marco Foscarini,Biblioteca Istituto Superiore,1,,Venezia (VE),North,IT-VE0280,,,45.4439222,12.3353151
Biblioteca del Liceo Classico Torricelli Ballardini,Biblioteca Istituto Superiore,2,,Faenza (RA),North,IT-RA0057,,,44.2869383,11.874484
Biblioteca del Seminario arcivescovile,Biblioteca Ecclesiastica,1,,Bologna (BO),North,IT-BO0552,,http://www.bologna.chiesacattolica.it/seminario,44.4784677,11.3437397
Biblioteca del Seminario maggiore,Biblioteca Ecclesiastica,1,,Parma (PR),North,IT-PR0043,,,44.802746,10.330453
Biblioteca del Seminario vescovile,Biblioteca Ecclesiastica,3,,Treviso (TV),North,IT-TV0113,,,45.6635869,12.2391039
Biblioteca del Seminario Vescovile di Pavia,Biblioteca Ecclesiastica,4,,Pavia (PV),North,IT-PV0074,,,45.1857392,9.1496794
Biblioteca del Seminario vescovile San Pio X,Biblioteca Ecclesiastica,1,,Rovigo (RO),North,IT-RO0042,,,45.0650579,11.792735
Biblioteca della Facoltà teologica dell'Emilia Romagna,Biblioteca universitaria,4,,Bologna (BO),North,IT-BO0344,,,44.4784677,11.3437397
BIBLIOTECA DELLA FONDAZIONE CENTRO INTERNAZIONALE DI STUDI DI ARCHITETTURA ANDREA PALLADIO,Biblioteca universitaria,1,,Vicenza (VI),North,IT-VI0095,,,45.548289,11.54566
Biblioteca della Fondazione Gramsci Emilia-Romagna,Specializzata,2,,Bologna (BO),North,IT-BO0392,,,44.4974498,11.3474571
Biblioteca della Fondazione Guido Lodovico Luzzatto,,1,,Milano (MI),North,IT-MI1321,,,45.4743755,9.166398
Biblioteca della Fondazione Il Vittoriale degli Italiani,,2,,Gardone Riviera (BS),North,IT-BS0310,,,45.6226657,10.567334
Biblioteca della Scuola Beato Angelico,Specializzata,1,,Milano (MI),North,IT-MI1047,,,45.459235,9.1362673
Biblioteca della Scuola di scienze sociali. Sezione DISFOR  Formazione. Università degli studi di Genova,,4,,Genova (GE),North,IT-GE0262,,,44.4117839,8.9472282
Biblioteca della Scuola di scienze umanistiche. Umanistica Balbisei. Università degli studi di Genova,,2,,Genova (GE),North,IT-GE0044,,,44.4146074,8.9268103
Biblioteca della Società storica lombarda,Specializzata,1,,Milano (MI),North,IT-MI0255,,http://www.societastoricalombarda.it,45.468001,9.1920364
Biblioteca della Storica Società Operaia di Mutuo Soccorso Ed Istruzione,,1,,Pordenone (PN),North,IT-PN0109,,,45.9558825,12.6597747
Biblioteca dell'Accademia delle scienze,Specializzata,11,,Torino (TO),North,IT-TO0324,,http://www.accademiadellescienze.it,45.0680516,7.6840303
Biblioteca dell'Associazione Benigno Zaccagnini,NON SPECIFICATA,1,,Cesena (FC),North,IT-FC0159,,,44.1393144,12.2462618
Biblioteca delle Civiche raccolte storiche,,1,,Milano (MI),North,	IT-MI0339,,,45.4723337,9.189779
Biblioteca dell'Istituto d'istruzione superiore Alessandro Volta,NON SPECIFICATA,1,,Pavia (PV),North,IT-PV0379,,,45.2078938,9.1233217
Biblioteca dell'Istituto Leone XIII,Specializzata,2,,Milano (MI),North,IT-MI0307,,http://www.leonexiii.it/biblioteca_menu.htm,45.4745966,9.1628272
Biblioteca dell'Istituto nazionale Ferruccio Parri,,1,,Milano (MI),North,	IT-MI0305,,,45.5256281,9.2144987
Biblioteca dell'Istituto sociale dei padri gesuiti,Importante non specializzata,4,,Torino (TO),North,IT-TO0872,,,45.0547302,7.6345158
Biblioteca dell'Istituto Tecnico Statale del Settore Tecnologico 'Alessandro Volta',,1,,Trieste (TS),North,IT-TS0274,,,45.6590484,13.7879686
"Biblioteca dell'Istituto veneto di scienze, lettere ed arti",Importante non specializzata,2,,Venezia (VE),North,IT-VE0237,,http://www.istitutoveneto.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/119,45.4326689,12.3301608
Biblioteca di Area umanistica dell'Università Ca' Foscari Venezia,Istituto di insegnamento superiore,3,,Venezia (VE),North,IT-VE0308,,,45.4347647960359,12.3224759101868
Biblioteca di Busseto della Fondazione Cariparma,,2,,Busseto (PR),North,IT-PR0007,,,44.9797045,10.041032
Biblioteca di Casa Carducci,Bibliteca specializzata,20,,Bologna (BO),North,IT-BO0283,,http://www.casacarducci.it,44.4895915,11.3576717
"Biblioteca di filosofia, lingue e letterature -  Università degli studi di Trieste",,4,,Trieste (TS),North,IT-TS0216,,,45.6433525,13.7556618
Biblioteca di filosofia. Università degli studi di Padova,,1,,Padova (PD),North,IT-PD0280,,,45.4081124,11.8719521
Biblioteca di Ingegneria e Architettura. Sezione di Ingegneria civile 'Giovanni Michelucci',,1,,Bologna (BO),North,IT-BO0540,,,44.4882503,11.3282958
Biblioteca di Scienze dell'antichità e filologia moderna,Istituto di insegnamento superiore,1,,Milano (MI),North,IT-MI1256,,http://www.sba.unimi.it/biblioantichitaefilologiamoderna,45.4603257,9.1937983
Biblioteca di Scienze Letterarie e Filologiche -  Dipartimento di Studi Umanistici dell'Università degli Studi di Torino,,3,,Torino (TO),North,IT-TO0657,,,45.0684234,7.7009236
Biblioteca di Storia contemporanea Alfredo Oriani,,1,,Ravenna (RA),North,IT-RA0030,,,44.415707,12.200223
Biblioteca di Studi giuridici e umanistici,,9,,Milano (MI),North,IT-MI0190,,,45.4603257,9.1937983
Biblioteca di Studi Umanistici dell'Università di Pavia,,3,,Pavia (PV),North,IT-PV0367,,,45.1846467,9.156012
Biblioteca diocesana del Seminario vescovile,Specializzata,2,,Biella (BI),North,IT-BI0027,,http://bibliotecaseminariobiella.wordpress.com/,45.56666,8.052534
Biblioteca diocesana di Alba,Importante non specializzata,1,,Alba (CN),North,IT-CN0001,,,44.6997595,8.0373371
Biblioteca e archivio dell'Accademia ligustica di belle arti,Specializzata,2,,Genova (GE),North,IT-GE0188,,,44.4076891,8.9345247
Biblioteca e Archivio storico di 'Casa Lyda Borelli',,1,,Bologna (BO),North,IT-BO0357,,,44.4895654,11.3118112
Biblioteca e archivio. Civica raccolta delle stampe Achille Bertarelli,Specializzata,1,,Milano (MI),North,IT-MI0281,,,45.469601,9.18046
Biblioteca e Musei Oliveriani,,1,,Pesaro (PU),North,IT-PU0061,,,43.9098401,12.909504
Biblioteca Estense Universitaria,Pubblica,3,,Modena (MO),North,IT-MO0089,,http://bibliotecaestense.beniculturali.it/index.html,44.6482001,10.9211123
Biblioteca Europa. Generale  Università degli studi di Trieste,,2,,Trieste (TS),North,IT-TS0137,,,45.6578468,13.7929195
"Biblioteca Italiana delle Donne  Centro di Documentazione, Ricerca e Iniziativa delle Donne",,4,,Bologna (BO),North,IT-BO0284,,,44.4885816,11.355714
Biblioteca MAB -  Provincia Ravenna,,1,,Ravenna (RA),North,IT-RA0053,,,44.417153039284,12.2040295600891
Biblioteca Malatestiana,Pubblica,4,,Cesena (FC),North,IT-FC0011,,http://www.malatestiana.it,44.1387059,12.2436791
Biblioteca multimediale Arturo Loria,,3,,Carpi (MO),North,	IT-MO0012,,,44.7835252,10.8853395
Biblioteca nazionale Braidense,Importante non specializzata,8,,Milano (MI),North,IT-MI0185,,http://www.braidense.it,45.471946,9.187845
Biblioteca nazionale Marciana,Importante non specializzata,8,,Venezia (VE),North,IT-VE0049,,http://marciana.venezia.sbn.it/,45.433388,12.3394782
Biblioteca Nazionale Universitaria,Importante non specializzata,10,,Torino (TO),North,IT-TO0265,,http://www.bnto.librari.beniculturali.it,45.0698752,7.6871678
Biblioteca Norberto Bobbio dell'Università degli Studi di Torino,Istituto di insegnamento superiore,2,,Torino (TO),North,IT-TO1203,,,45.0746826,7.70149660000004
Biblioteca P. Bollini del Liceo scientifico statale Righi,,1,,Bologna (BO),North,"
IT-BO0586",,,44.4918158,11.3293803
Biblioteca Palatina,Importante non specializzata,3,,Parma (PR),North,IT-CE0013,,,41.0714,14.32698
Biblioteca Palatina,Pubblica,3,,Parma (PR),North,IT-PR0072,,http://www.bibpal.unipr.it,44.804875,10.325797
Biblioteca parrocchiale di Romano di Lombardia,NON SPECIFICATA,1,,Romano di Lombardia (BG),North,IT-BG0398,,www.arteculturasacra.com,45.519678,9.7565065
Biblioteca provinciale dei Frati minori dell'Emilia. Sezione Biblioteca dello Studio teologico S. Antonio,,1,,Bologna (BO),North,IT-BO0330,,,44.4864927,11.3593522
Biblioteca pubblica e Casa della cultura. Fondazione Achille Marazza,Pubblica,3,,Borgomanero (NO),North,IT-NO0011,,,45.7007022,8.4676988
Biblioteca Reale,Specializzata,2,,Torino (TO),North,IT-TO0263,,www.bibliotecarealepiemonte.beniculturali.it,45.0703812,7.6858201
Biblioteca Seminariale Paolo VI,Istituto di insegnamento superiore,1,,Aversa (CE),North,IT-CE0069,,,40.9773537,14.2032705
"Biblioteca Statale del Monumento Nazionale di Santa 
Giustina",,1,,Padova (PD),North,IT-PD0077,,,45.3963968,11.8803318
Biblioteca statale di Cremona,Importante non specializzata,7,,Cremona (CR),North,IT-CR0062,,http://www.bibliocremona.it/,45.1379377,10.0215815
Biblioteca Statale Isontina,Importante non specializzata,1,,Gorizia (GO),North,IT-GO0025,,http://www.isontina.beniculturali.it,45.9462809,13.6236652
Biblioteca Storica di Ateneo 'Arturo Graf',,3,,Torino (TO),North,"
IT-TO0529",,,45.0690513,7.6888463
Biblioteca Teologica Diocesana,,1,,Ivrea (TO),North,IT-TO0111,,,45.4685279,7.8768794
Biblioteca Universitaria,Pubblica,3,,Pavia (PV),North,IT-BO0098,,http://www.bub.unibo.it,44.4971148,11.3528491
Biblioteca Universitaria,Importante non specializzata,3,,Pavia (PV),North,IT-PV0291,,http://www.bibliotecauniversitariapavia.it,45.186513,9.155929
Biblioteca Universitaria,Pubblica,2,,Genova (GE),North,IT-BO0098,,http://www.bub.unibo.it,44.4971148,11.3528491
Biblioteca Universitaria,Importante non specializzata,2,,Genova (GE),North,IT-PV0291,,http://www.bibliotecauniversitariapavia.it,45.186513,9.155929
Biblioteca Universitaria di Bologna,,4,,Bologna (BO),North,IT-BO0098,,,44.4971148,11.3528491
Biblioteca universitaria di Bologna -  Sezione Archivio Storico,,2,,Bologna (BO),North,IT-BO0420,,,44.4971899,11.3417828
Biblioteca Universitaria di Padova,,1,,Padova (PD),North,IT-PD0158,,,45.4070473,11.8805465
Biblioteca universitaria giuridica dell'Università degli studi di Modena e Reggio Emilia,Istituto di insegnamento superiore,1,,Modena (MO),North,IT-MO0169,,http://www.bugiuridica.unimore.it,44.6449568,10.9278554
Sistema Bibliotecario di Milano,,2,,Milano (MI),North,IT-MI1992,,,45.4775869,9.0107568
Biblioteca nazionale centrale di Firenze,Biblioteca nazionale centrale ,51,,Firenze (FI),Centre,IT-FI0098,,http://www.bncf.firenze.sbn.it,43.7668975,11.2622704
Biblioteca della Fondazione Marco Besso	,Specializzata; ,14,,Roma (RM),Centre,IT-RM0211,,https://www.fondazionemarcobesso.net/la-biblioteca,41.896832,12.4763946
Biblioteca nazionale centrale di Roma,Biblioteca nazionale centrale ,14,,Roma (RM),Centre,IT-RM0267,,http://www.bncrm.librari.beniculturali.it,41.9060993,12.5055046
Biblioteca comunale Augusta,Biblioteca comunale; Importante non specializzata,12,,Perugia (PG),Centre,IT-PG0109,,http://turismo.comune.perugia.it/pagine/augusta,43.1138116,12.3907164
Biblioteca comunale Labronica Francesco Domenico Guerrazzi. Sezione catalografica e magazzino librario,Biblioteca comunale; Importante non specializzata,11,,Livorno (LI),Centre,IT-LI0083,,http://brunelleschi.imss.fi.it/ist/luogo/bibliotecacomunalelabronicaguerrazzi.html,43.5353465,10.3195735
Biblioteca comunale Mozzi-Borgetti,Biblioteca comunale; Biblioteca importante non specializzata,10,,Macerata (MC),Centre,IT-MC0049,,http://www.comune.macerata.it/aree-tematiche/cultura-turismo/servizi-per-la-cultura/biblioteca-comunale-2,43.2989868,13.4513136
Biblioteca Marucelliana,Biblioteca pubblica; Biblioteca importante non specializzata,8,,Firenze (FI),Centre,IT-FI0101,,http://www.maru.firenze.sbn.it,43.7761331,11.2568357
Biblioteca Statale di Lucca,Biblioteca pubblica statale ,8,,Lucca (LU),Centre,	IT-LU0022,,http://www.bibliotecastatalelucca-bslu.beniculturali.it/,43.844903,10.501279
Biblioteca del Gabinetto Scientifico Letterario G.P. Vieusseux,Biblioteca importante non specializzata; ,7,,Firenze (FI),Centre,	IT-FI0058,,http://www.vieusseux.it/biblioteca.html,43.7710706,11.2521786
Biblioteca del Liceo ginnasio statale Ennio Quirino Visconti,,7,,Roma (RM),Centre,IT-RM1365,,https://www.liceoeqvisconti.edu.it/,41.8979903,12.4775755
"Biblioteca dell'Accademia Petrarca di lettere, arti e scienze",Specializzata,7,,Arezzo (AR),Centre,IT-AR0010,,http://www.accademiapetrarca.it,43.4661281,11.8835984
Biblioteca Angelica,Specializzata,6,,Roma (RM),Centre,IT-RM0290,,http://www.biblioangelica.it,41.9006788,12.4741905
Biblioteca della Fondazione Spadolini Nuova Antologia,Specializzata,6,,Firenze (FI),Centre,IT-FI0568,,http://www.nuovaantologia.it/htdocs/index.html,43.7446544,11.2667721
Biblioteca diocesana Alessandro VII,Specializzata,6,,Monteriggioni (SI),Centre,IT-SI0056,,,43.3522895,11.311794
Biblioteca della Società dantesca italiana,Specializzata,5,,Firenze (FI),Centre,IT-FI0115,,http://www.dantesca.it/fbibl.html,43.770291,11.254696
Biblioteca Leoniana,Importante non specializzata,5,,Pistoia (PT),Centre,IT-PT0019,,http://biblio.comune.pistoia.it/library/Pistoia-Leoniana/,43.931371,10.91016
Biblioteca statale del Monumento Nazionale di Grottaferrata,Pubblica,5,,Grottaferrata (RM),Centre,IT-RM0039,,http://www.bibliotecagrottaferrata.beniculturali.it/,41.7866424,12.6664928
Biblioteca Universitaria,Pubblica,5,,Pisa (PI),Centre,IT-BO0098,,http://www.bub.unibo.it,44.4971148,11.3528491
Biblioteca Universitaria,Importante non specializzata,5,,Pisa (PI),Centre,IT-PV0291,,http://www.bibliotecauniversitariapavia.it,45.186513,9.155929
Biblioteca di Filosofia -  Sapienza Università di Roma,Biblioteca Universitaria,4,,Roma (RM),Centre,IT-RM0989,,https://web.uniroma1.it/bibliofilosofia/home,41.918667,12.5150445
Biblioteca 'Salvatore Tommasi',Importante non specializzata,4,,L'Aquila (AQ),Centre,IT-AQ0047,,http://www.provincia.laquila.it/servizi/biblioteca.html,42.3507794,13.3989336
Biblioteca Casanatense,Specializzata,3,,Roma (RM),Centre,IT-RM0313,,http://www.casanatense.it,41.8987548,12.4794597
Biblioteca comunale Adolfo Betti,Pubblica,3,,Bagni di Lucca (LU),Centre,IT-LU0003,,http://www.provincia.lucca.it/biblioteche/accessibile/sezionisottocategorie/paginabiblioteca.asp?cat=9&scat=114&sscat=113,44.0344784,10.6421799
Biblioteca provinciale Gabriele D'Annunzio,Importante non specializzata,2,,Pescara (PE),Centre,	IT-PE0018,,http://www.provincia.pescara.it,42.4659112,14.2145706
"Biblioteca Angelo Monteverdi per gli studi filologici, linguistici e letterari, Sapienza Università di Roma",Istituto di insegnamento superiore,2,,Roma (RM),Centre,IT-RM0988,,,41.9017582,12.5120975
Biblioteca città di Arezzo,Importante non specializzata,2,,Arezzo (AR),Centre,IT-AR0070,,http://www.bibliotecarezzo.it,43.4657695,11.8839869
Biblioteca comunale Giosuè Carducci,Importante non specializzata,2,,Città di Castello (PG),Centre,IT-PG0032,,http://www.cdcnet.net/infocitta/cultura/biblioteca_comunale.htm,43.461085,12.2392046
Biblioteca comunale Giosuè Carducci,Importante non specializzata,2,,Città di Castello (PG),Centre,IT-PG0168,,,42.7333302,12.7375391
Biblioteca comunale Labronica Francesco Domenico Guerrazzi,Importante non specializzata,2,,Livorno (LI),Centre,IT-LI0011,,http://brunelleschi.imss.fi.it/ist/luogo/bibliotecacomunalelabronicaguerrazzi.html,43.5353465,10.3195735
Biblioteca comunale T. Lippera,Pubblica,2,,Cerreto d'Esi (AN),Centre,IT-AN0026,,,43.3215951158556,12.9842305183411
Biblioteca del Centro studi Romolo Murri,NON SPECIFICATA,2,,Gualdo (MC),Centre,IT-MC0272,,,43.0665639,13.3377059
Biblioteca dell'Accademia di belle arti Pietro Vannucci,Specializzata,2,,Perugia (PG),Centre,IT-PG0104,,,43.1129045,12.3844283
Biblioteca della Società romana di storia patria,Specializzata,2,,Roma (RM),Centre,IT-RM0249,,,41.898246,12.468681
Biblioteca di storia moderna e contemporanea,Specializzata,2,,Roma (RM),Centre,IT-RM0255,,http://www.bsmc.it,41.8938583,12.4783703
Biblioteca diocesana,Importante non specializzata,2,,Tivoli (RM),Centre,IT-AN0035,,http://www.fabriano-matelica.it,43.3295802,12.9163419
Biblioteca diocesana,Importante non specializzata,2,,Tivoli (RM),Centre,IT-AO0001,,,45.7385389,7.3205677
Biblioteca diocesana,Specializzata,2,,Tivoli (RM),Centre,IT-AQ0114,,,42.0515072,13.9216527
Biblioteca diocesana,Importante non specializzata,2,,Tivoli (RM),Centre,IT-AV0004,,,41.1528421,15.0884703
Biblioteca diocesana,Importante non specializzata,2,,Tivoli (RM),Centre,IT-AV0163,,,40.9258322,15.1786562
Biblioteca diocesana,Specializzata,2,,Tivoli (RM),Centre,IT-BR0029,,,40.497517,17.6421504
Biblioteca diocesana,Specializzata,2,,Tivoli (RM),Centre,IT-CH0140,,http://www.diocesilanciano.it,42.229515,14.3866941
Biblioteca diocesana,Importante non specializzata,2,,Tivoli (RM),Centre,IT-CL0006,,,37.4860732,14.0611575
Biblioteca diocesana,Importante non specializzata,2,,Tivoli (RM),Centre,IT-CN0036,,http://www.diocesicuneo.it/biblioteca,44.3915444,7.5476967
Biblioteca diocesana,Importante non specializzata,2,,Tivoli (RM),Centre,IT-CS0130,,https://diocesitivoliepalestrina.it/diocesi-tivoli/biblioteca-diocesana-tivoli/,41.9651119,12.7961398
Biblioteca Riccardiana,Specializzata,2,,Firenze (FI),Centre,IT-FI0094,,http://www.riccardiana.firenze.sbn.it,43.7751374,11.2551879
Biblioteca San Giorgio,Pubblica,2,,Pistoia (PT),Centre,IT-PT0064,,www.sangiorgio.comune.pistoia.it,43.9283636056642,10.9104205343629
